Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
3C196_158, cluster1, POINT, 08:13:36.293, 48.12.59.881, -0.00319812443430142, 0, 0, 0, [0.00168193795252591, -7.84091935202014e-06], false, 144876098.632812, , ,
3C196_172, cluster1, POINT, 08:13:36.298, 48.12.59.931, -0.00282731997557683, 0, 0, 0, [0.00150305207353085, -0.000185923316166736], false, 144876098.632812, , ,
3C196_173, cluster1, POINT, 08:13:36.293, 48.12.59.931, -0.000428172290214121, 0, 0, 0, [0.000229915953241289, -2.14754563785391e-05], false, 144876098.632812, , ,
3C196_189, cluster1, POINT, 08:13:36.318, 48.12.59.981, -0.000886949339420894, 0, 0, 0, [0.000471340346848592, -1.18848602141952e-05], false, 144876098.632812, , ,
3C196_235, cluster1, POINT, 08:13:36.283, 48.13.00.281, 0.00485819857567549, 0, 0, 0, [-0.033445630222559, 0.0478513985872269], false, 144876098.632812, , ,
3C196_279, cluster1, POINT, 08:13:36.273, 48.13.00.481, 0.00426260847598314, 0, 0, 0, [-0.0149996280670166, -0.03047851100564], false, 144876098.632812, , ,
3C196_291, cluster1, POINT, 08:13:36.273, 48.13.00.531, 0.00219866936095059, 0, 0, 0, [-0.0047908159904182, 0.00116921437438577], false, 144876098.632812, , ,
3C196_1208, cluster1, GAUSSIAN, 08:13:36.333, 48.12.59.931, -0.00237430346437991, 0, 0, 0, [0.00124916236381978, -0.000142902543302625], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_1209, cluster1, GAUSSIAN, 08:13:36.328, 48.12.59.931, -0.0223957392227642, 0, 0, 0, [0.011125504039228, -0.00779765332117677], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_1211, cluster1, GAUSSIAN, 08:13:36.338, 48.12.59.981, -0.00145109086785736, 0, 0, 0, [0.000769265345297754, -7.59335889597423e-05], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_1222, cluster1, GAUSSIAN, 08:13:36.278, 48.13.00.531, 0.0244402717798948, 0, 0, 0, [-0.0549750290811062, -0.248504713177681], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_340, cluster1, POINT, 08:13:36.273, 48.13.00.781, 0.00493656704202294, 0, 0, 0, [0.00325757800601423, -0.0405607558786869], false, 144876098.632812, , ,
3C196_1227, cluster1, GAUSSIAN, 08:13:36.278, 48.13.00.631, 0.00505322637036443, 0, 0, 0, [-0.0154128577560186, -0.0702668130397797], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_1228, cluster1, GAUSSIAN, 08:13:36.283, 48.13.00.681, 0.00565203744918108, 0, 0, 0, [-0.0217876918613911, -0.0523561537265778], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_1231, cluster1, GAUSSIAN, 08:13:36.283, 48.13.00.731, 0.00428069802001119, 0, 0, 0, [-0.0189225021749735, -0.0220571476966143], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_1482, cluster1, GAUSSIAN, 08:13:36.353, 48.13.00.031, -0.0302812346962973, 0, 0, 0, [0.0141241708770394, -0.012263267301023], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1500, cluster1, GAUSSIAN, 08:13:36.293, 48.13.00.831, 0.0197423715144396, 0, 0, 0, [-0.106490068137646, 0.122410163283348], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_347, cluster1, POINT, 08:13:36.298, 48.13.00.831, 0.00716017512604594, 0, 0, 0, [-0.0278753712773323, 0.0287455953657627], false, 144876098.632812, , ,
3C196_1483, cluster1, GAUSSIAN, 08:13:36.358, 48.13.00.081, -0.00573143558985445, 0, 0, 0, [0.00281511922366917, 0.000316727935569361], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1502, cluster1, GAUSSIAN, 08:13:36.293, 48.13.00.881, 0.00730992574244738, 0, 0, 0, [-0.0273639596998692, -0.00265614502131939], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1504, cluster1, GAUSSIAN, 08:13:36.293, 48.13.00.931, 0.0117323426529765, 0, 0, 0, [-0.0458980947732925, 0.0350015126168728], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1684, cluster1, GAUSSIAN, 08:13:36.268, 48.13.01.281, 0.107356354594231, 0, 0, 0, [-0.118384793400764, -0.6246098279953], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_451, cluster1, POINT, 08:13:36.228, 48.13.01.581, 0.00226810295134783, 0, 0, 0, [0.00352515489794314, -0.0187627784907818], false, 144876098.632812, , ,
3C196_456, cluster1, POINT, 08:13:36.238, 48.13.01.631, 0.00189503037836403, 0, 0, 0, [-0.0057695833966136, 0.026686567813158], false, 144876098.632812, , ,
3C196_1215, cluster1, GAUSSIAN, 08:13:36.368, 48.13.00.231, -0.00124681616158395, 0, 0, 0, [0.000658338714856654, -2.56872208410641e-05], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_1506, cluster1, GAUSSIAN, 08:13:36.298, 48.13.00.981, 0.00798956863582134, 0, 0, 0, [-0.0348039269447327, 0.068768598139286], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1685, cluster1, GAUSSIAN, 08:13:36.273, 48.13.01.331, 0.256892591714859, 0, 0, 0, [-0.0543584115803242, -0.562559366226196], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_290, cluster1, POINT, 08:13:36.388, 48.13.00.531, -0.000446094864945559, 0, 0, 0, [0.000238425971474499, -1.29364707390778e-05], false, 144876098.632812, , ,
3C196_300, cluster1, POINT, 08:13:36.393, 48.13.00.581, -0.00612037898436603, 0, 0, 0, [0.00314447423443198, -0.000259045016719028], false, 144876098.632812, , ,
3C196_354, cluster1, POINT, 08:13:36.333, 48.13.00.931, 0.0008360855281353, 0, 0, 0, [0.000410856795497239, 0.103383772075176], false, 144876098.632812, , ,
3C196_357, cluster1, POINT, 08:13:36.333, 48.13.00.981, 0.00219166395254433, 0, 0, 0, [-0.000995988841168582, 0.0798439010977745], false, 144876098.632812, , ,
3C196_361, cluster1, POINT, 08:13:36.338, 48.13.01.031, 0.000364847481250763, 0, 0, 0, [4.71911553177051e-05, 0.00696383276954293], false, 144876098.632812, , ,
3C196_377, cluster1, POINT, 08:13:36.353, 48.13.01.131, 0.000359586614649743, 0, 0, 0, [0.000662737176753581, -0.00285954773426056], false, 144876098.632812, , ,
3C196_378, cluster1, POINT, 08:13:36.348, 48.13.01.131, 4.18809140683152e-05, 0, 0, 0, [0.010458723641932, -0.0379106514155865], false, 144876098.632812, , ,
3C196_403, cluster1, POINT, 08:13:36.378, 48.13.01.331, 0.0075703770853579, 0, 0, 0, [-0.00431514345109463, -0.104536265134811], false, 144876098.632812, , ,
3C196_460, cluster1, POINT, 08:13:36.348, 48.13.01.681, 0.00472896685823798, 0, 0, 0, [0.00495286565274, -0.00681658135727048], false, 144876098.632812, , ,
3C196_465, cluster1, POINT, 08:13:36.358, 48.13.01.731, 0.000777661451138556, 0, 0, 0, [0.00249180407263339, 0.0156059199944139], false, 144876098.632812, , ,
3C196_466, cluster1, POINT, 08:13:36.353, 48.13.01.731, 0.00616321945562959, 0, 0, 0, [0.00483614671975374, -0.0257228706032038], false, 144876098.632812, , ,
3C196_480, cluster1, POINT, 08:13:36.358, 48.13.01.781, 0.000861782755237073, 0, 0, 0, [-0.0017939213430509, -0.00127589679323137], false, 144876098.632812, , ,
3C196_1218, cluster1, GAUSSIAN, 08:13:36.373, 48.13.00.281, -0.00371530582283691, 0, 0, 0, [0.0019283804576844, -0.000123855352285318], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
